time,last_timestamp_in_pcap,opened_connections,closed_connections,stalled_connections,ongoing_connections,avg_duration,bytes_in,pkg_in_0-100,pkg_in_100-200,pkg_in_200-300,pkg_in_300-400,pkg_in_400-500,pkg_in_500-600,pkg_in_600-700,pkg_in_700-800,pkg_in_800-900,pkg_in_900-1000,pkg_in_1000-1100,pkg_in_1100-1200,pkg_in_1200-1300,pkg_in_1300-1400,pkg_in_1400-1500,pkg_in_1500-1600,bytes_out,pkg_out_0-100,pkg_out_100-200,pkg_out_200-300,pkg_out_300-400,pkg_out_400-500,pkg_out_500-600,pkg_out_600-700,pkg_out_700-800,pkg_out_800-900,pkg_out_900-1000,pkg_out_1000-1100,pkg_out_1100-1200,pkg_out_1200-1300,pkg_out_1300-1400,pkg_out_1400-1500,pkg_out_1500-1600,avg_bytes_in,avg_bytes_out,ttl_changes_in,ttl_changes_out
2018-03-20 13:03:54.371121,1520948048.299346,0,0,0,2,0.9965119361877441,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3307.0,20,0,0,2,0,0,1,2,0,3,4,1,1,1,1,0,0.0,734.8888888888889,0,33
2018-03-20 13:03:54.384589,1520948048.800138,0,0,0,2,1.0099806785583496,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5185.25,20,0,1,3,0,3,1,1,2,1,2,0,3,5,0,0,0.0,945.1363636363636,0,33
2018-03-20 13:03:54.400302,1520948049.300161,0,0,0,2,1.025705099105835,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5842.375,25,1,1,1,1,2,1,0,1,1,1,1,5,2,5,0,0.0,936.8808695652174,0,35
2018-03-20 13:03:54.416292,1520948049.800192,0,0,0,2,1.0416879653930664,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3493.875,24,0,0,1,4,4,3,0,1,0,1,0,0,5,4,0,0.0,606.4347826086956,0,43
2018-03-20 13:03:54.433726,1520948050.301747,0,0,0,2,1.0591213703155518,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7052.875,27,0,1,0,1,0,1,1,1,2,2,3,4,5,5,0,0.0,1045.8931623931624,0,40
2018-03-20 13:03:54.449912,1520948050.801769,0,0,0,2,1.075305700302124,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7291.5,25,1,2,1,1,0,1,0,2,4,0,4,3,5,1,0,0.0,1166.64,0,37
2018-03-20 13:03:54.465966,1520948051.302042,0,0,0,2,1.0913569927215576,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6945.75,25,2,1,1,1,2,4,2,0,0,3,4,0,2,3,0,0.0,1111.32,0,38
2018-03-20 13:03:54.480624,1520948051.802975,0,0,0,2,1.1060154438018799,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4598.375,23,0,0,4,0,3,3,1,2,0,0,3,1,2,4,0,0.0,799.7173913043478,0,41
2018-03-20 13:03:54.498894,1520948052.303998,0,0,0,2,1.1242902278900146,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7586.375,27,1,2,3,0,0,0,0,0,3,2,6,1,2,6,0,0.0,1124.8703703703704,0,40
2018-03-20 13:03:54.510944,1520948052.804066,0,0,0,2,1.1363530158996582,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3997.0,18,0,1,1,6,5,1,0,0,0,0,2,1,1,1,0,0.0,842.8421052631579,0,30
2018-03-20 13:03:54.532282,1520948053.313503,0,0,0,2,1.1576757431030273,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9660.75,36,1,1,0,0,2,1,4,0,4,1,3,1,3,9,0,0.0,1171.0,0,48
2018-03-20 13:03:54.546417,1520948053.838545,0,0,0,2,1.1718103885650635,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5402.875,24,0,4,0,0,1,2,1,0,0,0,2,5,1,4,0,0.0,982.340909090909,0,30
2018-03-20 13:03:54.561795,1520948054.344188,0,0,0,2,1.1872186660766602,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6347.75,18,1,2,2,2,2,1,0,0,1,3,2,2,0,11,0,0.0,885.4137931034483,0,42
2018-03-20 13:03:54.574700,1520948054.872455,0,0,0,2,1.20009446144104,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3308.125,18,0,0,0,0,1,4,1,2,6,4,1,0,0,0,0,0.0,697.8157894736842,0,35
2018-03-20 13:03:54.586242,1520948055.373225,0,0,0,2,1.211632490158081,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3298.75,17,0,0,0,0,0,1,2,2,6,1,3,1,1,2,0,0.0,697.2105263157895,0,34
2018-03-20 13:03:54.599093,1520948055.906447,0,0,0,2,1.2244834899902344,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3851.25,20,0,0,0,0,1,1,1,2,4,3,5,0,2,1,0,0.0,770.25,0,36
2018-03-20 13:03:54.614053,1520948056.407847,0,0,0,2,1.239447832107544,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4382.75,21,0,0,0,0,0,2,4,1,1,2,4,3,3,2,0,0.0,798.0714285714286,0,40
2018-03-20 13:03:54.628120,1520948056.941958,0,0,0,2,1.2535130977630615,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969.75,21,0,0,0,2,0,1,0,1,2,2,5,2,2,4,0,0.0,756.1428571428572,0,38
2018-03-20 13:03:54.640701,1520948057.476032,0,0,0,2,1.2660942077636719,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6118.5,20,0,2,1,2,1,1,2,0,0,3,3,2,1,0,0,0.0,1288.1052631578948,0,21
2018-03-20 13:03:54.658231,1520948058.010092,0,0,0,2,1.283625602722168,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6796.125,25,1,1,2,1,4,1,1,1,1,0,3,0,5,4,0,0.0,1047.5961538461538,0,32
2018-03-20 13:03:54.674157,1520948058.542996,0,0,0,2,1.2995517253875732,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5125.125,25,0,0,0,0,1,11,2,2,0,0,2,0,2,4,0,0.0,821.1,0,45
2018-03-20 13:03:54.687794,1520948059.043047,0,0,0,2,1.3131859302520752,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3813.25,22,0,0,0,2,2,1,2,2,0,0,3,2,2,5,0,0.0,694.538961038961,0,39
2018-03-20 13:03:54.700491,1520948059.543898,0,0,0,2,1.3258800506591797,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3607.875,20,0,0,0,0,0,0,11,2,0,1,2,0,4,0,0,0.0,721.575,0,35
2018-03-20 13:03:54.721699,1520948060.044661,0,0,0,2,1.3470938205718994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7424.25,33,1,1,0,0,0,6,3,1,0,3,3,1,4,10,0,0.0,899.9090909090909,0,57
2018-03-20 13:03:54.740177,1520948060.578634,0,0,0,2,1.365577220916748,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950.875,19,0,0,0,1,4,5,2,0,1,2,1,1,1,1,0,0.0,831.7631578947369,0,34
2018-03-20 13:03:54.754002,1520948061.078638,0,0,0,2,1.3794097900390625,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3429.5,21,0,0,0,6,3,2,0,0,1,2,0,0,2,4,0,0.0,654.5190476190476,0,38
2018-03-20 13:03:54.766529,1520948061.57931,0,0,0,2,1.3919239044189453,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165.0,19,0,0,2,5,5,1,0,0,1,1,1,0,0,3,0,0.0,666.3157894736843,0,36
2018-03-20 13:03:54.785433,1520948062.11347,0,0,0,2,1.4108295440673828,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5513.875,29,0,0,0,1,4,10,1,0,1,0,1,0,3,9,0,0.0,736.1120689655172,0,55
2018-03-20 13:03:54.805575,1520948062.647263,0,0,0,2,1.4309730529785156,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3319.5,21,0,0,0,0,10,3,2,0,1,0,2,0,1,2,0,0.0,632.2857142857142,0,39
2018-03-20 13:03:54.825672,1520948063.180318,0,0,0,2,1.4510672092437744,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3783.5,25,0,0,0,0,4,1,6,3,2,0,1,0,1,7,0,0.0,605.36,0,48
2018-03-20 13:03:54.848288,1520948063.681085,0,0,0,2,1.4736826419830322,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5259.5,25,0,0,0,6,3,2,1,0,1,2,3,0,3,4,0,0.0,841.52,0,45
2018-03-20 13:03:54.861881,1520948064.181895,0,0,0,2,1.4872775077819824,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3147.125,18,0,0,1,4,4,4,1,0,0,0,3,1,0,0,0,0.0,699.3611111111111,0,33
2018-03-20 13:03:54.875497,1520948064.682682,0,0,0,2,1.500894546508789,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3604.125,20,0,0,0,0,0,3,7,2,0,1,2,2,2,1,0,0.0,720.8249999999999,0,37
2018-03-20 13:03:54.890671,1520948065.228264,0,0,0,2,1.5160651206970215,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4554.625,22,1,1,0,0,4,4,3,1,0,0,2,2,1,5,0,0.0,761.3162878787879,0,40
2018-03-20 13:03:54.908632,1520948065.75047,0,0,0,2,1.5340287685394287,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5081.875,27,0,0,0,0,2,10,3,1,0,1,1,0,3,4,0,0.0,781.8269230769231,0,48
2018-03-20 13:03:54.920937,1520948066.284488,0,0,0,2,1.5463297367095947,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3299.5,18,0,0,0,0,8,7,0,1,1,0,1,0,0,1,0,0.0,696.0,0,35
2018-03-20 13:03:54.934238,1520948066.784503,0,0,0,2,1.5596320629119873,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3338.0,21,0,0,0,0,4,8,0,2,0,2,1,0,0,3,0,0.0,666.2857142857143,0,39
2018-03-20 13:03:54.952286,1520948067.285591,0,0,0,2,1.5776820182800293,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5118.25,27,0,0,1,5,5,3,0,1,0,0,1,2,3,8,0,0.0,707.8659003831417,0,51
2018-03-20 13:03:54.970297,1520948067.785618,0,0,0,2,1.595693588256836,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3629.625,28,0,0,4,6,2,3,0,0,0,0,0,0,3,9,0,0.0,536.6798941798942,0,53
2018-03-20 13:03:54.984582,1520948068.286314,0,0,0,2,1.6099777221679688,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3031.875,21,0,0,0,11,2,2,0,0,0,0,1,1,0,5,0,0.0,552.4707792207793,0,41
2018-03-20 13:03:54.997102,1520948068.819521,0,0,0,2,1.6224946975708008,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3564.75,19,0,0,0,10,2,2,1,0,0,0,1,2,2,0,0,0.0,714.25,0,34
2018-03-20 13:03:55.010170,1520948069.320325,0,0,0,2,1.6355633735656738,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4429.125,20,0,0,3,10,2,1,0,0,1,1,0,0,2,1,0,0.0,844.895238095238,0,36
2018-03-20 13:03:55.024632,1520948069.85455,0,0,0,2,1.6500258445739746,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2991.875,22,0,0,5,6,5,0,0,0,0,0,1,0,3,2,0,0.0,543.9772727272727,0,41
